vehicle_id,vehicle_brand,vehicle_model,vehicle_type,manufacturing_year,battery_manufacturer,battery_chemistry,battery_capacity_kwh,drive_type,odometer_km,vehicle_age_years,fleet_or_private,battery_serial,cycle_count,battery_health_percent,state_of_charge,depth_of_discharge,state_of_health,cell_voltage_avg,cell_voltage_std,pack_voltage,cell_temperature_avg,cell_temperature_max,internal_resistance,charge_efficiency,discharge_efficiency,remaining_capacity,capacity_loss_percent,charging_cycles_last_month,fast_charge_ratio,slow_charge_ratio,average_charge_power_kw,average_charging_time,overnight_charging_ratio,home_charging_ratio,charging_interruptions,overcharge_events,average_speed,average_trip_distance,aggressive_acceleration_score,hard_braking_score,regenerative_braking_usage,highway_driving_ratio,city_driving_ratio,daily_distance,average_ambient_temperature,maximum_temperature,minimum_temperature,humidity,altitude,terrain_type,dust_exposure,last_service_days,cooling_system_health,firmware_updates,previous_faults,maintenance_score,thermal_runaway_risk,voltage_imbalance,temperature_variance,sensor_fault_count,BMS_warning_count,abnormal_voltage_events,battery_stress_index,aging_score,thermal_health_score,charging_quality_score,driving_stress_score,predicted_remaining_life_cycles,battery_failure
EV100011,Nissan,Leaf,Crossover,2021,CATL,LFP,,AWD,117809.8,5.32,Private,BAT-10000011,1408,82.88,42.25,26.96,80.03,3.452,0.0006,334.84,36.06,57.1,,95.8,93.97,65.09,17.12,19,0.3,0.57,,55.52,0.27,0.17,1,2,76.79,84.06,1.43,59.27,84.08,0.29,0.65,147.38,24.47,,9.94,94.51,2140.93,Hilly,37.55,1056.6,88.01,11,2,56.33,48.96,5.84,32.63,1,0,1,46.4,49.84,51.42,77.68,35.24,8361,0
EV100012,Ford,,Van,2023,Envision AESC,NMC,90.16,RWD,182734.0,3.38,Fleet,BAT-10000012,1802,87.49,6.11,,,3.573,0.0005,360.87,37.3,45.88,0.36,96.27,95.86,78.88,12.51,20,0.42,0.43,43.59,122.94,0.28,0.05,0,0,102.55,5.79,7.12,92.26,37.74,0.63,,4.9,-6.39,1.52,-12.4,,976.6,Mountainous,14.98,718.9,87.87,8,,56.5,,9.15,32.94,1,2,0,55.94,55.07,76.12,86.07,31.72,7657,0
EV100013,BMW,iX1,Hatchback,2019,Guoxuan,NMC,125.0,AWD,161785.1,6.85,Fleet,BAT-10000013,1824,83.76,70.14,47.91,85.46,3.692,0.0117,380.28,38.75,52.72,0.367,96.34,96.72,104.7,16.24,16,0.53,0.43,17.68,600.0,0.39,0.04,1,1,66.43,50.7,92.96,74.52,9.51,0.22,0.9,45.38,-5.67,6.58,-22.31,47.4,537.38,Desert,88.97,61.0,95.42,20,0,99.37,,15.28,32.94,0,0,1,69.55,70.59,70.94,75.71,65.27,6971,0
EV100014,MG,ZS EV,Truck,2024,LG Energy Solution,NMC,42.67,,99843.3,1.83,Private,BAT-10000014,1097,93.86,27.14,36.23,94.92,3.71,0.0104,259.7,24.88,38.93,0.143,97.2,95.4,40.05,6.14,25,0.78,0.15,58.16,53.1,0.56,0.46,0,0,18.58,24.36,98.73,74.63,,0.35,0.16,25.79,43.12,61.72,31.17,61.91,598.01,,95.29,142.5,73.37,5,1,92.64,6.56,18.47,0.0,0,1,1,36.56,29.82,93.01,,47.52,10708,0
EV100015,Hyundai,Kona Electric,SUV,2017,Guoxuan,NMC,112.24,FWD,356282.8,8.98,Private,BAT-10000015,2680,75.95,4.72,34.33,77.71,3.681,0.0022,334.97,24.65,38.23,0.414,94.73,95.47,85.25,24.05,11,0.37,0.5,79.75,119.31,0.47,0.22,0,0,,53.91,58.98,89.93,48.35,0.51,,56.2,-1.88,9.53,-15.61,87.86,779.59,Coastal,72.05,362.4,89.66,23,1,84.91,20.52,6.87,32.94,0,4,2,53.25,94.12,79.95,92.02,52.99,5604,0
EV100016,Hyundai,Ioniq 5,Truck,2022,BYD Battery,NMC,125.48,RWD,69817.9,3.82,Private,BAT-10000016,759,,33.04,54.25,93.4,3.597,,309.34,-0.58,6.64,0.117,98.22,96.24,118.28,5.74,24,0.17,0.72,37.7,260.93,0.16,0.38,1,1,84.81,66.65,78.24,62.63,57.67,0.23,0.39,62.19,0.92,,-16.89,40.72,55.05,Coastal,,409.5,92.77,30,2,84.64,12.28,7.12,5.72,0,1,2,35.0,30.72,83.78,96.44,48.7,10405,0
EV100017,Volkswagen,ID.4,Truck,2020,Panasonic,LFP,126.66,AWD,282488.6,5.89,Private,BAT-10000017,2464,77.08,49.96,35.0,77.07,3.804,0.0056,315.73,22.71,27.78,0.463,95.49,95.6,97.63,22.92,,0.03,0.86,48.89,260.51,0.07,0.01,1,1,60.44,20.35,77.74,38.31,,0.6,0.65,29.7,24.36,33.55,,48.03,1918.08,Desert,96.32,547.0,,7,0,75.25,16.94,7.98,3.42,0,1,1,30.28,86.51,81.18,92.0,52.83,6485,0
EV100018,,Macan Electric,SUV,2023,,LFP,29.48,RWD,80486.4,2.85,Fleet,BAT-10000018,548,94.46,43.47,33.32,95.5,3.308,0.0037,271.26,33.06,44.95,0.197,97.19,97.06,27.85,5.54,38,0.52,0.33,17.64,,0.6,0.89,2,0,58.35,,71.93,76.34,65.37,0.57,0.35,186.47,14.29,24.93,4.83,24.87,796.6,Hilly,45.41,1085.7,90.28,3,0,56.67,30.08,7.98,30.66,1,2,0,46.65,28.07,68.66,84.11,61.11,10336,0
EV100019,MG,ZS EV,Hatchback,2017,CATL,LTO,71.81,RWD,181484.9,9.0,Fleet,BAT-10000019,1997,69.49,20.26,58.97,70.47,3.582,0.0316,293.72,41.67,53.97,0.804,94.69,94.34,49.9,30.51,23,0.46,0.41,29.64,168.18,0.52,0.58,0,0,114.0,97.96,81.93,30.9,53.09,0.32,0.8,78.12,37.75,53.63,32.41,33.66,2275.72,Hilly,23.98,696.8,72.26,20,2,60.58,51.16,47.53,,1,2,0,56.2,90.52,51.13,90.11,,5869,1
EV100020,Audi,Q4 e-tron,Sedan,2023,SK On,LFP,126.27,,135382.6,2.78,Private,BAT-10000020,1089,89.74,30.74,25.59,90.23,3.82,,351.44,33.82,54.11,,96.8,97.34,113.31,10.26,29,0.1,0.71,86.35,,0.1,0.1,1,2,48.31,41.56,26.66,82.94,45.47,0.88,0.43,53.25,-3.72,,-9.46,,,Desert,85.19,1430.1,93.03,8,0,48.42,42.61,3.74,32.94,0,0,0,43.45,35.18,58.6,80.93,44.29,9180,0
EV100021,Kia,EV9,Truck,2020,SK On,LTO,100.29,RWD,96262.0,5.89,Fleet,BAT-10000021,803,82.8,26.7,34.2,83.21,3.713,0.0027,278.48,35.32,51.12,0.455,95.75,96.31,83.04,17.2,29,0.53,0.46,74.69,128.86,,0.26,0,0,75.45,138.49,80.25,64.97,22.81,0.34,0.5,98.25,15.88,35.51,4.01,70.65,97.97,Flat,85.14,1158.6,86.34,30,2,53.4,35.35,8.51,32.94,0,0,,61.25,52.34,66.19,81.33,58.17,7884,0
EV100022,Rivian,R1S,SUV,2017,CATL,LMO,104.57,RWD,423303.4,9.7,Private,BAT-10000022,2727,70.22,36.89,43.76,70.24,3.407,0.0112,323.67,26.58,33.55,0.743,94.77,93.07,73.43,29.78,11,0.09,0.66,79.78,119.43,0.53,0.29,0,0,73.68,108.53,74.42,87.13,86.83,0.53,0.61,124.32,-17.26,-11.3,-28.3,90.33,1726.86,Flat,49.51,41.7,82.85,5,0,95.37,22.5,16.25,32.94,0,1,2,60.36,100.0,76.74,97.03,56.85,4894,0
EV100023,BMW,iX1,Sedan,2023,CATL,LFP,88.63,RWD,85600.4,3.28,Private,BAT-10000023,701,91.02,31.67,27.74,90.37,3.65,0.0019,332.15,45.76,51.94,0.255,97.09,96.02,80.67,8.98,37,0.11,0.8,25.59,287.84,0.65,0.02,1,0,95.76,30.33,38.53,57.47,96.68,0.15,0.61,18.51,-14.6,-8.64,-25.82,93.27,1158.49,Desert,5.62,152.9,96.74,28,1,89.57,24.13,8.27,32.94,0,2,0,37.75,29.71,75.13,91.38,20.57,9874,0
EV100024,Tesla,Model Y,Truck,2017,SK On,NMC,38.05,RWD,128789.4,8.99,Private,BAT-10000024,912,78.84,69.3,60.08,80.45,3.674,0.0101,356.38,25.29,46.19,0.519,95.4,93.78,30.0,21.16,5,0.28,0.6,18.88,103.32,0.04,0.61,0,2,119.7,75.06,80.55,44.07,85.61,0.98,0.55,50.24,18.22,28.61,4.43,33.11,1722.37,Desert,27.85,822.1,90.65,30,0,71.36,22.98,17.02,27.97,3,1,1,68.48,66.64,71.09,86.57,41.83,6883,0
EV100025,Renault,Megane E-Tech,Sedan,2021,Guoxuan,LFP,98.86,FWD,162381.9,4.98,Fleet,BAT-10000025,1532,81.96,47.39,48.92,80.25,3.634,0.031,287.09,28.19,48.98,0.543,95.76,94.76,,18.04,,0.33,0.57,26.73,180.0,0.68,0.34,1,0,51.9,4.77,92.88,63.46,53.69,0.29,0.26,3.28,27.75,,22.32,63.63,380.21,Mountainous,19.77,528.9,88.59,28,1,69.07,20.86,43.11,21.23,1,1,0,44.29,62.18,75.96,89.46,46.81,7212,0
EV100026,Honda,e:N1,Truck,2020,Panasonic,LFP,52.09,RWD,136735.2,6.05,Private,BAT-10000026,913,83.09,49.7,57.62,84.02,3.544,0.0101,322.5,15.42,21.52,0.356,96.91,95.88,43.28,16.91,37,,0.74,56.64,71.98,0.6,,1,0,32.34,18.94,82.58,28.37,48.86,0.38,0.79,14.33,23.95,39.96,9.02,87.99,1943.38,Flat,55.75,382.7,92.81,12,1,88.16,5.6,15.14,0.0,0,,1,29.87,57.14,97.73,96.12,33.06,8331,0
EV100027,Kia,EV9,Hatchback,2019,Guoxuan,LMO,131.27,RWD,202981.3,6.98,Fleet,BAT-10000027,2044,,47.45,25.14,74.05,3.471,0.0034,301.98,27.06,48.12,0.642,95.66,93.14,98.02,25.33,1,0.09,0.76,23.72,,0.18,0.95,2,3,102.95,63.17,53.22,58.1,44.56,0.89,0.66,44.37,-20.47,-4.88,-34.59,78.04,95.38,Coastal,95.72,1402.8,94.69,10,2,33.81,,12.22,32.94,2,,1,66.88,81.44,76.74,79.58,35.98,5460,1
EV100028,Nissan,Ariya,SUV,2017,,LMO,91.35,AWD,214560.7,9.15,Fleet,BAT-10000028,1325,75.86,43.76,7.61,76.88,3.556,0.0176,291.59,14.1,33.5,0.528,95.54,94.19,69.3,24.14,15,0.23,0.76,50.4,162.25,0.11,0.88,0,0,61.21,51.03,,36.89,67.29,0.55,0.58,73.98,-8.15,4.24,-20.76,72.99,689.42,Mountainous,71.85,1223.3,90.29,5,1,53.87,8.97,25.61,32.94,1,1,1,53.9,74.34,90.29,96.94,37.75,5465,0
EV100029,BYD,Atto 3,SUV,2018,LG Energy Solution,NMC,116.32,RWD,124451.0,8.58,Private,BAT-10000029,1386,75.97,,50.58,76.22,,0.0023,315.78,39.57,54.95,0.549,94.88,93.33,88.37,24.03,41,0.31,0.53,34.13,269.12,0.7,0.95,0,1,65.61,104.48,77.77,4.19,82.1,0.27,1.0,140.14,41.37,54.81,28.78,28.09,820.73,Mountainous,98.2,1095.1,83.32,8,0,58.72,49.81,3.09,13.58,,1,,,,47.91,96.41,46.95,7199,0
EV100030,Rivian,R1T,Sedan,2023,SK On,LMO,44.29,FWD,79317.3,2.46,Private,BAT-10000030,,94.63,31.84,,95.13,3.611,0.0027,317.77,42.55,59.89,0.14,98.26,95.81,41.91,5.37,40,0.6,0.39,44.95,60.92,0.89,0.88,1,1,89.44,64.66,36.57,26.06,80.1,0.49,0.93,51.94,15.63,29.5,11.02,49.98,61.99,Flat,90.16,695.5,91.27,6,0,67.44,58.12,3.58,32.94,1,2,0,51.43,15.77,,77.87,26.25,,0
EV100031,Rivian,R1T,Sedan,2021,LG Energy Solution,LFP,56.05,AWD,,4.65,Fleet,BAT-10000031,1229,82.66,23.51,34.11,82.23,3.789,0.0026,280.39,,37.57,0.241,,95.15,46.33,17.34,40,0.21,0.58,15.69,313.43,0.89,0.12,1,0,34.02,109.08,94.64,81.81,3.27,0.65,,104.82,-15.67,1.92,-30.07,28.8,597.1,Hilly,23.13,692.6,85.09,19,0,,6.1,4.14,32.94,0,1,0,55.94,55.04,93.58,85.61,71.67,8181,0
EV100032,Renault,,Truck,2020,BYD Battery,NMC,34.35,RWD,138594.7,6.45,Fleet,BAT-10000032,1444,82.87,91.71,54.62,81.08,3.551,0.0114,348.0,38.57,53.9,0.419,96.95,95.16,28.47,17.13,31,0.26,0.51,22.94,87.7,0.72,0.4,2,0,,,34.04,51.51,23.66,0.57,0.23,79.77,-21.34,-3.87,-36.0,40.35,2031.56,Desert,29.08,365.0,86.74,4,0,84.61,27.99,18.64,32.94,0,1,1,52.8,64.45,,83.69,39.82,8140,0
EV100033,,Zoe,SUV,2016,SK On,NMC,40.55,AWD,124723.5,10.14,Fleet,BAT-10000033,1264,73.11,15.07,59.66,73.67,3.569,0.0041,,19.13,29.06,0.638,94.54,95.26,29.65,26.89,24,0.28,0.49,64.36,61.48,0.78,0.57,2,,75.24,138.08,19.34,13.08,25.51,0.2,0.82,95.09,34.14,41.32,31.1,40.55,2618.8,Coastal,87.86,263.6,94.71,20,3,78.02,9.74,12.64,0.0,1,2,2,31.54,82.81,98.49,90.35,34.86,5677,0
EV100034,Honda,Prologue,Crossover,2015,SK On,LFP,87.44,FWD,179242.5,11.23,Fleet,BAT-10000034,1169,68.26,43.06,44.46,66.72,3.441,0.0254,289.04,40.77,49.85,0.66,95.16,92.61,59.69,31.74,37,0.32,0.44,24.38,194.04,0.85,,0,2,24.75,98.68,12.26,72.33,72.82,0.75,0.46,105.04,13.82,21.08,7.45,39.65,782.63,Hilly,41.53,709.1,83.07,7,0,68.06,31.49,35.67,32.94,0,0,0,70.55,87.11,69.82,94.11,28.62,5079,0
EV100035,Rivian,R1S,Truck,2020,Guoxuan,NMC,48.66,RWD,178973.6,6.3,Private,BAT-10000035,1564,75.26,41.94,63.39,76.31,3.655,0.0028,263.16,14.24,35.35,0.479,94.83,93.23,36.62,24.74,5,0.3,0.49,35.94,113.82,0.02,0.51,2,1,19.62,131.4,74.44,1.11,60.65,0.22,0.99,130.04,-5.17,1.91,-18.58,49.57,959.49,Desert,75.88,482.3,92.04,16,0,79.06,10.41,6.86,32.94,0,,1,70.34,66.41,84.13,78.45,42.51,5989,0
EV100036,BMW,i4,SUV,2024,BYD Battery,LFP,49.43,AWD,304718.2,1.98,Fleet,BAT-10000036,1836,90.02,67.23,46.22,88.89,3.543,0.0222,272.81,42.93,53.49,0.382,96.37,96.21,,9.98,17,0.4,0.38,88.49,28.96,0.67,0.18,0,1,82.46,37.53,52.98,61.4,51.43,0.27,0.94,49.51,-4.68,12.46,-10.4,7.57,2296.31,Mountainous,53.45,1309.8,96.54,24,0,53.82,28.92,29.69,32.94,4,1,0,57.77,47.0,70.91,75.43,50.81,9019,0
EV100037,Rivian,R1T,,2017,CATL,NCA,,AWD,108723.7,9.22,Private,BAT-10000037,1293,80.39,76.84,38.38,,3.392,0.0007,339.2,10.1,18.91,0.414,96.43,96.14,118.5,19.61,39,0.12,0.8,57.28,218.0,0.14,0.51,0,0,17.63,139.51,49.07,7.32,16.75,0.34,0.44,89.67,-14.25,-8.32,-27.24,96.55,469.53,Flat,3.27,40.8,89.01,,0,98.36,10.33,3.79,32.94,1,1,0,42.7,70.13,89.44,100.0,41.76,7949,0
EV100038,Renault,Zoe,Sedan,2017,LG Energy Solution,LFP,79.38,FWD,304537.6,8.98,Private,BAT-10000038,2263,76.15,20.29,56.76,75.68,3.43,0.0036,250.39,12.42,17.52,0.687,95.87,94.29,60.45,,36,0.33,0.45,37.29,217.12,0.13,0.34,0,0,63.8,85.1,93.59,99.82,15.11,0.12,,64.68,-3.63,12.74,-20.14,55.22,897.97,Desert,71.27,206.9,86.62,13,1,95.37,16.65,8.9,21.15,1,,2,54.09,89.46,86.02,97.15,70.11,6107,0
EV100039,Audi,Q4 e-tron,Sedan,2021,Guoxuan,,144.57,FWD,137119.2,5.76,Private,BAT-10000039,957,78.65,17.89,45.66,81.03,3.413,0.0005,320.82,13.23,21.03,0.51,96.41,94.28,113.7,21.35,3,0.37,0.51,36.48,211.58,0.83,0.88,3,2,90.35,34.27,99.8,39.98,19.19,0.2,0.97,16.04,7.55,26.53,-3.9,77.84,179.15,Hilly,30.51,1077.5,88.08,8,1,54.31,5.15,5.32,13.48,0,0,0,55.5,48.99,92.4,78.47,43.88,7830,0
EV100040,Hyundai,Ioniq 5,Van,2024,CATL,LTO,73.07,AWD,53724.0,2.04,Private,BAT-10000040,331,98.28,90.33,51.81,,3.71,0.0073,326.48,12.89,31.91,0.189,98.37,96.56,71.81,1.72,27,0.04,0.8,,177.31,0.53,0.35,5,0,24.28,82.46,4.38,95.87,45.83,0.67,0.23,84.19,18.78,26.75,2.09,99.71,707.98,Coastal,87.71,1083.2,99.58,0,1,50.69,6.02,13.34,13.13,1,0,0,25.76,19.69,94.16,82.7,41.28,,0
EV100041,Lucid,Air,Crossover,2015,LG Energy Solution,LTO,91.51,FWD,258171.1,11.27,Private,BAT-10000041,2918,76.07,6.96,48.83,77.36,,0.0029,294.54,36.5,44.87,0.51,96.58,96.1,69.61,23.93,35,0.07,0.69,141.2,34.65,0.32,0.41,,0,38.63,6.55,69.66,71.25,,0.62,0.38,5.89,-3.89,13.27,-15.76,59.48,57.88,Hilly,81.74,462.3,88.26,2,1,69.28,22.31,6.88,32.94,0,1,0,51.48,100.0,76.23,92.49,40.59,6002,0
EV100042,Audi,Q4 e-tron,Crossover,2021,CATL,NMC,31.97,RWD,149125.4,5.27,Private,BAT-10000042,1280,79.03,56.2,19.18,80.54,3.344,0.0062,234.08,35.8,48.12,0.415,96.48,95.05,25.27,20.97,4,0.36,0.51,22.16,86.45,0.49,,1,1,47.58,130.0,58.25,1.64,40.95,0.24,0.89,115.3,13.84,21.26,-1.23,17.15,1929.93,Hilly,9.59,1188.0,85.16,5,1,47.78,25.29,11.04,32.94,,3,0,51.25,49.62,75.26,83.95,40.22,7923,0
EV100043,Volvo,XC40 Recharge,Hatchback,2023,SK On,LFP,137.69,AWD,165868.5,,Fleet,BAT-10000043,896,89.98,23.1,62.09,,3.85,0.0095,308.0,23.73,44.9,0.189,97.46,95.83,123.89,10.02,23,0.22,0.56,84.31,96.27,0.61,0.41,2,2,69.1,131.13,56.86,15.79,1.84,0.38,,205.3,-15.47,-7.64,-18.94,95.07,2063.37,Hilly,55.94,1252.4,92.49,1,0,34.93,17.72,13.8,32.94,1,2,2,60.26,32.13,82.51,74.9,63.69,9205,0
EV100044,Tesla,Model 3,Hatchback,,Northvolt,NMC,29.78,FWD,126779.1,6.9,Private,BAT-10000044,1482,77.56,43.93,23.45,77.58,3.459,0.001,297.47,10.45,23.49,0.547,96.41,94.84,23.1,22.44,6,0.46,0.35,75.31,31.42,0.78,0.56,1,1,68.39,32.56,48.1,58.31,69.32,0.62,0.99,,-17.8,-4.3,-22.99,72.57,1046.22,Flat,43.65,1081.9,92.9,28,1,49.12,3.77,5.46,32.94,2,,0,68.13,70.64,96.42,81.66,43.29,5289,0
EV100045,Nissan,Leaf,Sedan,2022,BYD Battery,LFP,110.16,RWD,233038.9,3.74,Private,BAT-10000045,1537,89.29,59.58,17.81,87.63,3.559,0.0183,263.37,33.23,50.93,0.343,96.15,96.97,98.36,10.71,7,0.34,0.6,,109.91,0.68,0.14,2,1,93.77,81.18,94.8,24.05,16.16,0.38,0.96,36.19,4.93,15.96,-6.23,12.71,1327.23,Mountainous,4.95,,93.62,28,0,79.23,27.97,27.33,32.94,0,1,0,50.87,51.41,75.25,84.36,42.75,8002,0
EV100046,Renault,Zoe,Sedan,2015,Envision AESC,LFP,84.36,,128372.2,11.26,Private,BAT-10000046,1204,79.72,29.65,20.21,79.58,3.711,0.0061,308.01,24.18,45.58,0.504,96.22,95.35,67.25,20.28,36,0.35,,57.41,116.98,,0.75,1,0,25.78,127.71,51.98,66.15,22.83,0.76,0.68,112.08,11.62,25.31,,,2449.9,Hilly,77.09,785.0,95.0,2,0,79.22,15.19,10.76,32.94,0,0,2,48.8,86.22,87.46,90.57,48.88,7451,0
EV100047,Rivian,R1T,Crossover,2015,Guoxuan,NMC,114.7,FWD,,10.69,Private,BAT-10000047,1504,64.39,54.96,48.24,61.04,3.591,0.0095,362.69,30.93,43.7,,93.72,93.88,73.86,35.61,33,0.65,0.29,32.34,359.94,0.72,0.62,1,0,16.42,86.56,69.06,77.37,84.8,0.9,0.72,88.27,37.41,57.26,31.8,28.69,1542.98,Coastal,20.9,1131.8,74.96,17,1,49.41,25.02,15.97,6.29,0,,1,51.49,89.12,70.99,78.14,50.35,5365,1
